"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 10:23:03 GMT 2023","Mon May 29 10:23:04 GMT 2023","1068","","ru.prudnikova.api.tests.profile.ProfileTests","","ru.prudnikova.api.tests.profile.ProfileTests","changeUsername","Изменение имени пользователя",""
"broken","Mon May 29 10:22:36 GMT 2023","Mon May 29 10:22:36 GMT 2023","311","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setPriceToFilter","setPriceToFilter(String, String) Ввести значение 1000000 в фильтр Цена до и проверить появление тега До 1 млн. ₽",""
"broken","Mon May 29 10:22:40 GMT 2023","Mon May 29 10:22:40 GMT 2023","210","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","followingAboutLink","Переход по ссылке 'O компании'",""
"broken","Mon May 29 10:22:37 GMT 2023","Mon May 29 10:22:37 GMT 2023","218","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","searchCity","Проверить результаты поиска ЖК по городу на странице /novostroyki",""
"broken","Mon May 29 10:22:37 GMT 2023","Mon May 29 10:22:38 GMT 2023","213","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 1 на странице /novostroyki",""
"broken","Mon May 29 10:22:40 GMT 2023","Mon May 29 10:22:40 GMT 2023","208","","ru.prudnikova.web.tests.novostroyki.CallMeTests","","ru.prudnikova.web.tests.novostroyki.CallMeTests","orderCallBackAndСheckAdditionInDatabase","Отправить заполненную форму Заказать звонок и проверить добавление соответсвующей записи в БД",""
"passed","Mon May 29 10:23:00 GMT 2023","Mon May 29 10:23:01 GMT 2023","1110","","ru.prudnikova.api.tests.profile.ProfileTests","","ru.prudnikova.api.tests.profile.ProfileTests","changeUsernameAndEmail","Изменение имени и Email пользователя",""
"broken","Mon May 29 10:22:38 GMT 2023","Mon May 29 10:22:38 GMT 2023","262","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 4 на странице /novostroyki",""
"passed","Mon May 29 10:23:15 GMT 2023","Mon May 29 10:23:17 GMT 2023","2255","","ru.prudnikova.api.tests.auth.AuthTests","","ru.prudnikova.api.tests.auth.AuthTests","auth","Авторизация пользователя",""
"broken","Mon May 29 10:22:51 GMT 2023","Mon May 29 10:22:53 GMT 2023","2476","","ru.prudnikova.web.tests.me.MeTests","","ru.prudnikova.web.tests.me.MeTests","changeUserEmail","Изменение email пользователя в профиле",""
"broken","Mon May 29 10:22:41 GMT 2023","Mon May 29 10:22:51 GMT 2023","9377","","ru.prudnikova.web.tests.me.MeTests","","ru.prudnikova.web.tests.me.MeTests","changeUserName","Изменение имени пользователя в профиле",""
"broken","Mon May 29 10:22:38 GMT 2023","Mon May 29 10:22:38 GMT 2023","202","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 3 на странице /novostroyki",""
"passed","Mon May 29 10:23:12 GMT 2023","Mon May 29 10:23:15 GMT 2023","3307","","ru.prudnikova.api.tests.auth.AuthTests","","ru.prudnikova.api.tests.auth.AuthTests","logout","Логаут пользователя",""
"passed","Mon May 29 10:23:07 GMT 2023","Mon May 29 10:23:08 GMT 2023","1244","","ru.prudnikova.api.tests.filter_building.SearchBuildingFiltersTests","","ru.prudnikova.api.tests.filter_building.SearchBuildingFiltersTests","searchStation","Применить фильтр 'Станция метро' и проверить, что найденные ЖК содержат искомый station_id",""
"broken","Mon May 29 10:22:36 GMT 2023","Mon May 29 10:22:37 GMT 2023","317","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setPriceToFilter","setPriceToFilter(String, String) Ввести значение 8000000 в фильтр Цена до и проверить появление тега До 8 млн. ₽",""
